"","county","cluster_id","surv_year","month","n_traps","total_mos","total_trap_nights","mos_per_trap_night","species"
"1","Butte",10001,2003,4,1,1,7,0.142857142857143,"Cx. pipiens"
"2","Butte",10001,2008,11,1,3,7,0.428571428571429,"Cx. pipiens"
"3","Butte",10001,2009,3,1,14,14,1,"Cx. pipiens"
"4","Butte",10001,2009,4,1,21,28,0.75,"Cx. pipiens"
"5","Butte",10001,2009,5,1,134,21,6.38095238095238,"Cx. pipiens"
"6","Butte",10001,2009,6,1,92,28,3.28571428571429,"Cx. pipiens"
"7","Butte",10001,2009,7,1,72,21,3.42857142857143,"Cx. pipiens"
"8","Butte",10001,2009,8,1,20,21,0.952380952380952,"Cx. pipiens"
"9","Butte",10001,2009,10,1,6,7,0.857142857142857,"Cx. pipiens"
"10","Butte",10001,2010,4,1,7,21,0.333333333333333,"Cx. pipiens"
"11","Butte",10001,2010,5,1,13,28,0.464285714285714,"Cx. pipiens"
"12","Butte",10001,2010,6,1,7,7,1,"Cx. pipiens"
"13","Butte",10001,2010,8,1,16,7,2.28571428571429,"Cx. pipiens"
"14","Butte",10001,2010,9,1,56,14,4,"Cx. pipiens"
"15","Butte",10001,2010,10,1,24,14,1.71428571428571,"Cx. pipiens"
"16","Butte",10001,2011,6,1,1,7,0.142857142857143,"Cx. pipiens"
"17","Butte",10001,2011,7,1,28,14,2,"Cx. pipiens"
"18","Butte",10001,2011,8,1,64,7,9.14285714285714,"Cx. pipiens"
"19","Butte",10001,2011,9,1,4,7,0.571428571428571,"Cx. pipiens"
"20","Butte",10001,2011,10,1,20,7,2.85714285714286,"Cx. pipiens"
"21","Butte",10001,2012,5,1,5,21,0.238095238095238,"Cx. pipiens"
"22","Butte",10001,2012,7,1,35,14,2.5,"Cx. pipiens"
"23","Butte",10001,2012,9,1,22,14,1.57142857142857,"Cx. pipiens"
"24","Butte",10001,2012,10,1,2,7,0.285714285714286,"Cx. pipiens"
"25","Butte",10001,2013,4,1,2,7,0.285714285714286,"Cx. pipiens"
"26","Butte",10001,2013,5,1,4,14,0.285714285714286,"Cx. pipiens"
"27","Butte",10001,2013,10,1,2,7,0.285714285714286,"Cx. pipiens"
"28","Butte",10001,2014,4,1,36,14,2.57142857142857,"Cx. pipiens"
"29","Butte",10001,2014,5,1,40,28,1.42857142857143,"Cx. pipiens"
"30","Butte",10001,2014,6,1,14,14,1,"Cx. pipiens"
"31","Butte",10001,2015,4,1,10,14,0.714285714285714,"Cx. pipiens"
"32","Butte",10001,2015,5,1,8,7,1.14285714285714,"Cx. pipiens"
"33","Butte",10001,2015,9,1,2,7,0.285714285714286,"Cx. pipiens"
"34","Butte",10001,2016,4,1,1,7,0.142857142857143,"Cx. pipiens"
"35","Butte",10001,2016,5,1,2,7,0.285714285714286,"Cx. pipiens"
"36","Butte",10001,2017,9,1,2,7,0.285714285714286,"Cx. pipiens"
"37","Butte",10001,2020,5,1,4,7,0.571428571428571,"Cx. pipiens"
"38","Butte",10001,2020,6,1,4,7,0.571428571428571,"Cx. pipiens"
"39","Butte",10001,2021,4,1,1,8,0.125,"Cx. pipiens"
"40","Butte",10001,2021,5,1,4,14,0.285714285714286,"Cx. pipiens"
"41","Butte",10001,2021,6,1,4,7,0.571428571428571,"Cx. pipiens"
"42","Butte",10001,2022,4,1,1,7,0.142857142857143,"Cx. pipiens"
"43","Butte",10001,2022,5,1,7,21,0.333333333333333,"Cx. pipiens"
"44","Butte",10001,2022,6,1,4,7,0.571428571428571,"Cx. pipiens"
"45","Butte",10002,2004,4,1,24,7,3.42857142857143,"Cx. pipiens"
"46","Butte",10002,2006,4,1,26,14,1.85714285714286,"Cx. pipiens"
"47","Butte",10002,2007,5,1,2,7,0.285714285714286,"Cx. pipiens"
"48","Butte",10002,2009,3,1,19,14,1.35714285714286,"Cx. pipiens"
"49","Butte",10002,2009,4,1,43,21,2.04761904761905,"Cx. pipiens"
"50","Butte",10002,2009,5,1,57,28,2.03571428571429,"Cx. pipiens"
"51","Butte",10002,2009,6,1,117,28,4.17857142857143,"Cx. pipiens"
"52","Butte",10002,2009,7,1,84,21,4,"Cx. pipiens"
"53","Butte",10002,2009,8,1,32,14,2.28571428571429,"Cx. pipiens"
"54","Butte",10002,2009,9,1,16,7,2.28571428571429,"Cx. pipiens"
"55","Butte",10002,2009,10,1,32,14,2.28571428571429,"Cx. pipiens"
"56","Butte",10002,2009,11,1,2,7,0.285714285714286,"Cx. pipiens"
"57","Butte",10002,2010,4,1,17,21,0.80952380952381,"Cx. pipiens"
"58","Butte",10002,2010,5,1,15,21,0.714285714285714,"Cx. pipiens"
"59","Butte",10002,2010,6,1,5,14,0.357142857142857,"Cx. pipiens"
"60","Butte",10002,2010,7,1,4,7,0.571428571428571,"Cx. pipiens"
"61","Butte",10002,2010,8,1,30,28,1.07142857142857,"Cx. pipiens"
"62","Butte",10002,2010,10,1,2,7,0.285714285714286,"Cx. pipiens"
"63","Butte",10002,2010,11,1,24,21,1.14285714285714,"Cx. pipiens"
"64","Butte",10002,2011,5,1,3,14,0.214285714285714,"Cx. pipiens"
"65","Butte",10002,2011,6,1,28,21,1.33333333333333,"Cx. pipiens"
"66","Butte",10002,2011,7,1,130,21,6.19047619047619,"Cx. pipiens"
"67","Butte",10002,2011,8,1,82,14,5.85714285714286,"Cx. pipiens"
"68","Butte",10002,2012,4,1,2,7,0.285714285714286,"Cx. pipiens"
"69","Butte",10002,2012,5,1,5,14,0.357142857142857,"Cx. pipiens"
"70","Butte",10002,2012,7,1,21,14,1.5,"Cx. pipiens"
"71","Butte",10002,2012,8,1,44,21,2.0952380952381,"Cx. pipiens"
"72","Butte",10002,2012,10,1,40,14,2.85714285714286,"Cx. pipiens"
"73","Butte",10002,2012,11,1,4,7,0.571428571428571,"Cx. pipiens"
"74","Butte",10002,2013,5,1,1,7,0.142857142857143,"Cx. pipiens"
"75","Butte",10002,2013,6,1,8,7,1.14285714285714,"Cx. pipiens"
"76","Butte",10002,2013,9,1,8,7,1.14285714285714,"Cx. pipiens"
"77","Butte",10002,2014,4,1,6,7,0.857142857142857,"Cx. pipiens"
"78","Butte",10002,2014,5,1,1,7,0.142857142857143,"Cx. pipiens"
"79","Butte",10002,2015,5,1,3,7,0.428571428571429,"Cx. pipiens"
"80","Butte",10002,2017,6,1,8,7,1.14285714285714,"Cx. pipiens"
"81","Butte",10002,2019,4,1,2,7,0.285714285714286,"Cx. pipiens"
"82","Butte",10002,2019,5,1,3,7,0.428571428571429,"Cx. pipiens"
"83","Butte",10002,2020,4,1,2,7,0.285714285714286,"Cx. pipiens"
"84","Butte",10002,2020,5,1,1,7,0.142857142857143,"Cx. pipiens"
"85","Butte",10002,2020,10,1,64,7,9.14285714285714,"Cx. pipiens"
"86","Butte",10002,2021,4,1,4,8,0.5,"Cx. pipiens"
"87","Butte",10002,2021,6,1,32,7,4.57142857142857,"Cx. pipiens"
"88","Butte",10002,2022,5,1,2,7,0.285714285714286,"Cx. pipiens"
"89","Butte",10002,2022,6,1,8,7,1.14285714285714,"Cx. pipiens"
"90","Butte",10003,2003,4,1,3,21,0.142857142857143,"Cx. pipiens"
"91","Butte",10003,2003,5,1,8,14,0.571428571428571,"Cx. pipiens"
"92","Butte",10003,2003,6,1,20,21,0.952380952380952,"Cx. pipiens"
"93","Butte",10003,2003,7,1,16,7,2.28571428571429,"Cx. pipiens"
"94","Butte",10003,2003,8,1,8,7,1.14285714285714,"Cx. pipiens"
"95","Butte",10003,2003,11,1,7,14,0.5,"Cx. pipiens"
"96","Butte",10003,2004,4,1,2,7,0.285714285714286,"Cx. pipiens"
"97","Butte",10003,2004,5,1,2,7,0.285714285714286,"Cx. pipiens"
"98","Butte",10003,2004,6,1,10,14,0.714285714285714,"Cx. pipiens"
"99","Butte",10003,2004,9,1,32,7,4.57142857142857,"Cx. pipiens"
"100","Butte",10003,2005,4,1,24,21,1.14285714285714,"Cx. pipiens"
"101","Butte",10003,2005,5,1,23,14,1.64285714285714,"Cx. pipiens"
"102","Butte",10003,2005,7,1,16,7,2.28571428571429,"Cx. pipiens"
"103","Butte",10003,2005,9,1,4,7,0.571428571428571,"Cx. pipiens"
"104","Butte",10003,2005,10,1,20,14,1.42857142857143,"Cx. pipiens"
"105","Butte",10003,2005,11,1,18,21,0.857142857142857,"Cx. pipiens"
"106","Butte",10003,2006,4,1,1,7,0.142857142857143,"Cx. pipiens"
"107","Butte",10003,2006,5,1,17,28,0.607142857142857,"Cx. pipiens"
"108","Butte",10003,2007,5,1,10,7,1.42857142857143,"Cx. pipiens"
"109","Butte",10003,2007,6,1,44,21,2.0952380952381,"Cx. pipiens"
