"","county","cluster_id","surv_year","month","species","n_traps","total_pools","positive_pools","total_mos_tested","WNV_MIR"
"1","Butte",10003,2011,9,"Cx pipiens",1,1,0,26,0
"2","Butte",10006,2011,9,"Cx pipiens",1,1,0,21,0
"3","Butte",10006,2012,7,"Cx pipiens",1,1,0,38,0
"4","Butte",10006,2012,8,"Cx pipiens",1,2,0,90,0
"5","Butte",10006,2014,7,"Cx pipiens",1,1,0,25,0
"6","Butte",10006,2015,6,"Cx pipiens",1,1,0,19,0
"7","Butte",10006,2015,7,"Cx pipiens",1,1,1,50,20
"8","Butte",10006,2017,9,"Cx pipiens",1,1,0,23,0
"9","Butte",10007,2011,10,"Cx pipiens",1,1,0,12,0
"10","Butte",10007,2015,6,"Cx pipiens",1,1,0,50,0
"11","Butte",10008,2004,8,"Cx pipiens",1,1,0,7,0
"12","Butte",10008,2005,9,"Cx pipiens",1,1,0,4,0
"13","Butte",10008,2007,9,"Cx pipiens",1,1,0,41,0
"14","Butte",10008,2008,8,"Cx pipiens",1,1,0,7,0
"15","Butte",10008,2009,6,"Cx pipiens",2,3,0,80,0
"16","Butte",10008,2009,8,"Cx pipiens",1,2,0,55,0
"17","Butte",10008,2011,9,"Cx pipiens",1,1,0,24,0
"18","Butte",10008,2011,10,"Cx pipiens",1,1,0,20,0
"19","Butte",10008,2012,9,"Cx pipiens",1,1,0,40,0
"20","Butte",10008,2016,9,"Cx pipiens",1,1,0,26,0
"21","Butte",10008,2017,6,"Cx pipiens",1,2,0,80,0
"22","Butte",10008,2017,9,"Cx pipiens",2,4,1,159,6.28930817610063
"23","Butte",10008,2020,9,"Cx pipiens",1,1,0,20,0
"24","Butte",10008,2021,7,"Cx pipiens",1,1,0,20,0
"25","Butte",10008,2022,6,"Cx pipiens",1,2,0,77,0
"26","Butte",10008,2023,5,"Cx pipiens",1,1,0,32,0
"27","Butte",10009,2021,7,"Cx pipiens",1,1,0,50,0
"28","Butte",10010,2005,9,"Cx pipiens",1,1,0,8,0
"29","Butte",10010,2009,5,"Cx pipiens",1,1,0,6,0
"30","Butte",10010,2010,7,"Cx pipiens",1,1,0,25,0
"31","Butte",10010,2011,7,"Cx pipiens",1,1,0,35,0
"32","Butte",10010,2011,9,"Cx pipiens",1,1,0,50,0
"33","Butte",10010,2013,10,"Cx pipiens",1,1,0,28,0
"34","Butte",10010,2014,6,"Cx pipiens",1,2,0,82,0
"35","Butte",10010,2014,7,"Cx pipiens",1,1,1,32,31.25
"36","Butte",10010,2014,9,"Cx pipiens",1,5,0,250,0
"37","Butte",10010,2014,10,"Cx pipiens",1,1,0,50,0
