"","county","cluster_id","surv_year","month","species","n_traps","total_pools","positive_pools","total_mos_tested","WNV_MIR"
"1","Fresno",40001,2016,7,"Cx quinquefasciatus",5,7,0,311,0
"2","Fresno",40001,2016,8,"Cx quinquefasciatus",1,1,0,12,0
"3","Fresno",40001,2017,6,"Cx quinquefasciatus",1,1,0,15,0
"4","Fresno",40001,2017,8,"Cx quinquefasciatus",1,1,0,14,0
"5","Fresno",40002,2015,9,"Cx quinquefasciatus",1,1,0,50,0
"6","Fresno",40002,2016,8,"Cx quinquefasciatus",1,1,0,39,0
"7","Fresno",40002,2017,6,"Cx quinquefasciatus",2,2,0,79,0
"8","Fresno",40002,2017,7,"Cx quinquefasciatus",1,1,1,28,35.7142857142857
"9","Fresno",40002,2017,9,"Cx quinquefasciatus",1,2,0,57,0
"10","Fresno",40003,2015,10,"Cx quinquefasciatus",1,2,0,100,0
"11","Fresno",40003,2016,8,"Cx quinquefasciatus",1,1,0,19,0
"12","Fresno",40003,2017,8,"Cx quinquefasciatus",1,1,0,5,0
"13","Fresno",40003,2017,9,"Cx quinquefasciatus",2,2,0,33,0
"14","Fresno",40005,2009,9,"Cx quinquefasciatus",1,1,0,12,0
"15","Fresno",40006,2010,9,"Cx quinquefasciatus",1,2,0,70,0
"16","Fresno",40006,2013,8,"Cx quinquefasciatus",1,1,0,10,0
"17","Fresno",40006,2013,10,"Cx quinquefasciatus",1,1,0,22,0
"18","Fresno",40006,2014,8,"Cx quinquefasciatus",1,1,0,10,0
"19","Fresno",40006,2014,9,"Cx quinquefasciatus",1,2,1,100,10
"20","Fresno",40006,2015,9,"Cx quinquefasciatus",1,1,0,50,0
"21","Fresno",40006,2015,10,"Cx quinquefasciatus",1,3,0,150,0
"22","Fresno",40006,2016,9,"Cx quinquefasciatus",1,1,0,18,0
"23","Fresno",40006,2022,7,"Cx quinquefasciatus",1,1,0,15,0
"24","Fresno",40008,2005,9,"Cx quinquefasciatus",1,2,0,26,0
"25","Fresno",40008,2010,7,"Cx quinquefasciatus",2,2,1,100,10
"26","Fresno",40008,2011,6,"Cx quinquefasciatus",1,1,0,50,0
"27","Fresno",40008,2020,9,"Cx quinquefasciatus",1,2,0,66,0
"28","Fresno",40008,2020,10,"Cx quinquefasciatus",1,1,0,14,0
"29","Fresno",40008,2021,9,"Cx quinquefasciatus",1,1,0,34,0
"30","Fresno",40009,2005,9,"Cx quinquefasciatus",1,1,0,14,0
"31","Fresno",40009,2007,8,"Cx quinquefasciatus",2,2,1,53,18.8679245283019
"32","Fresno",40009,2008,7,"Cx quinquefasciatus",1,1,0,50,0
"33","Fresno",40009,2008,8,"Cx quinquefasciatus",2,4,0,162,0
"34","Fresno",40009,2008,9,"Cx quinquefasciatus",2,7,0,340,0
"35","Fresno",40009,2008,10,"Cx quinquefasciatus",2,2,0,88,0
"36","Fresno",40009,2009,4,"Cx quinquefasciatus",1,1,0,18,0
"37","Fresno",40009,2009,7,"Cx quinquefasciatus",1,1,0,46,0
"38","Fresno",40009,2009,8,"Cx quinquefasciatus",1,1,1,50,20
"39","Fresno",40009,2010,7,"Cx quinquefasciatus",1,1,0,50,0
"40","Fresno",40009,2010,8,"Cx quinquefasciatus",1,2,0,100,0
"41","Fresno",40009,2011,7,"Cx quinquefasciatus",1,2,0,100,0
"42","Fresno",40009,2011,8,"Cx quinquefasciatus",1,2,0,100,0
"43","Fresno",40009,2012,6,"Cx quinquefasciatus",2,2,0,100,0
"44","Fresno",40009,2012,8,"Cx quinquefasciatus",1,1,0,50,0
"45","Fresno",40009,2013,7,"Cx quinquefasciatus",1,1,0,50,0
"46","Fresno",40009,2013,8,"Cx quinquefasciatus",1,4,0,200,0
"47","Fresno",40009,2014,8,"Cx quinquefasciatus",1,1,1,50,20
"48","Fresno",40009,2015,5,"Cx quinquefasciatus",1,2,0,67,0
"49","Fresno",40009,2015,6,"Cx quinquefasciatus",1,1,1,50,20
"50","Fresno",40009,2016,5,"Cx quinquefasciatus",1,1,0,30,0
"51","Fresno",40009,2016,6,"Cx quinquefasciatus",1,2,0,56,0
"52","Fresno",40009,2016,7,"Cx quinquefasciatus",1,1,0,50,0
