"","county","cluster_id","surv_year","month","species","n_traps","total_pools","positive_pools","total_mos_tested","WNV_MIR"
"1","Butte",10001,2018,7,"Cx tarsalis",1,1,0,50,0
"2","Butte",10002,2015,10,"Cx tarsalis",1,3,0,150,0
"3","Butte",10002,2016,9,"Cx tarsalis",1,2,0,100,0
"4","Butte",10002,2021,6,"Cx tarsalis",1,4,0,200,0
"5","Butte",10002,2022,6,"Cx tarsalis",1,4,0,200,0
"6","Butte",10002,2022,7,"Cx tarsalis",1,4,0,200,0
"7","Butte",10002,2022,8,"Cx tarsalis",1,3,3,150,20
"8","Butte",10003,2009,8,"Cx tarsalis",1,3,0,150,0
"9","Butte",10003,2009,9,"Cx tarsalis",1,2,1,100,10
"10","Butte",10003,2010,7,"Cx tarsalis",1,2,0,100,0
"11","Butte",10003,2010,8,"Cx tarsalis",1,4,2,200,10
"12","Butte",10003,2011,8,"Cx tarsalis",1,1,0,50,0
"13","Butte",10003,2011,9,"Cx tarsalis",1,3,0,150,0
"14","Butte",10003,2012,7,"Cx tarsalis",1,1,0,38,0
"15","Butte",10003,2012,8,"Cx tarsalis",1,4,3,200,15
"16","Butte",10003,2012,9,"Cx tarsalis",1,5,3,250,12
"17","Butte",10003,2012,10,"Cx tarsalis",1,3,0,150,0
"18","Butte",10003,2013,7,"Cx tarsalis",1,5,4,250,16
"19","Butte",10003,2013,9,"Cx tarsalis",1,4,1,200,5
"20","Butte",10003,2013,10,"Cx tarsalis",1,2,0,87,0
"21","Butte",10003,2014,6,"Cx tarsalis",1,2,0,73,0
"22","Butte",10003,2014,7,"Cx tarsalis",1,4,4,200,20
"23","Butte",10003,2014,8,"Cx tarsalis",1,5,2,250,8
"24","Butte",10003,2014,10,"Cx tarsalis",1,4,0,200,0
"25","Butte",10003,2015,6,"Cx tarsalis",1,8,1,400,2.5
"26","Butte",10003,2015,8,"Cx tarsalis",1,4,0,200,0
"27","Butte",10003,2015,9,"Cx tarsalis",1,6,1,300,3.33333333333333
"28","Butte",10003,2016,6,"Cx tarsalis",1,7,0,350,0
"29","Butte",10003,2016,7,"Cx tarsalis",1,3,0,150,0
"30","Butte",10003,2016,8,"Cx tarsalis",1,7,1,350,2.85714285714286
"31","Butte",10003,2016,10,"Cx tarsalis",1,2,0,100,0
"32","Butte",10003,2017,6,"Cx tarsalis",1,2,0,100,0
"33","Butte",10003,2017,7,"Cx tarsalis",1,11,1,550,1.81818181818182
"34","Butte",10003,2017,8,"Cx tarsalis",1,3,1,135,7.40740740740741
"35","Butte",10003,2017,9,"Cx tarsalis",1,4,0,200,0
"36","Butte",10003,2017,10,"Cx tarsalis",1,3,0,140,0
"37","Butte",10003,2018,5,"Cx tarsalis",1,2,0,74,0
"38","Butte",10003,2018,7,"Cx tarsalis",1,4,0,200,0
"39","Butte",10003,2018,8,"Cx tarsalis",1,3,1,150,6.66666666666667
"40","Butte",10003,2018,10,"Cx tarsalis",1,4,0,200,0
