"","county","trapstation_id","latitude","longitude","cluster_id"
"1","Los Angeles","33.72806--118.28806",33.728056,-118.288056,1
"2","Los Angeles","33.72911--118.28834",33.729107,-118.288342,1
"3","Los Angeles","33.73361--118.31306",33.733611,-118.313056,1
"4","Los Angeles","33.73722--118.29111",33.737222,-118.291111,1
"5","Los Angeles","33.73750--118.24250",33.7375,-118.2425,2
"6","Los Angeles","33.74639--118.11833",33.746389,-118.118333,3
"7","Los Angeles","33.75250--118.11500",33.7525,-118.115,3
"8","Los Angeles","33.75455--118.12363",33.754549,-118.12363,3
"9","Los Angeles","33.75472--118.10556",33.754722,-118.105556,3
"10","Los Angeles","33.75500--118.10556",33.755,-118.105556,3
"11","Los Angeles","33.75556--118.11194",33.755556,-118.111944,3
"12","Los Angeles","33.75611--118.10667",33.756111,-118.106667,3
"13","Los Angeles","33.75611--118.11278",33.756111,-118.112778,3
"14","Los Angeles","33.75667--118.10833",33.756667,-118.108333,3
"15","Los Angeles","33.75778--118.09750",33.757778,-118.0975,3
"16","Los Angeles","33.75806--118.10750",33.758056,-118.1075,3
"17","Los Angeles","33.75848--118.24090",33.758476,-118.2409,2
"18","Los Angeles","33.75861--118.10806",33.758611,-118.108056,3
"19","Los Angeles","33.75863--118.13961",33.758627,-118.13961,4
"20","Los Angeles","33.75917--118.10556",33.759167,-118.105556,3
"21","Los Angeles","33.75944--118.10611",33.759444,-118.106111,3
"22","Los Angeles","33.75978--118.38980",33.759783,-118.389802,5
"23","Los Angeles","33.76056--118.11167",33.760556,-118.111667,3
"24","Los Angeles","33.76111--118.10444",33.761111,-118.104444,3
"25","Los Angeles","33.76111--118.10722",33.761111,-118.107222,3
"26","Los Angeles","33.76324--118.13545",33.763237,-118.135451,4
"27","Los Angeles","33.76333--118.10083",33.763333,-118.100833,3
"28","Los Angeles","33.76378--118.12932",33.763775,-118.129318,4
"29","Los Angeles","33.76444--118.20250",33.764444,-118.2025,6
"30","Los Angeles","33.76528--118.09694",33.765278,-118.096944,3
"31","Los Angeles","33.76583--118.11111",33.765833,-118.111111,3
"32","Los Angeles","33.76639--118.21556",33.766389,-118.215556,6
"33","Los Angeles","33.76675--118.31229",33.76675,-118.312291,7
"34","Los Angeles","33.76722--118.11750",33.767222,-118.1175,3
"35","Los Angeles","33.76722--118.12056",33.767222,-118.120556,3
"36","Los Angeles","33.76782--118.39265",33.767817,-118.392645,5
"37","Los Angeles","33.76833--118.11639",33.768333,-118.116389,3
"38","Los Angeles","33.76833--118.11861",33.768333,-118.118611,3
"39","Los Angeles","33.76944--118.12028",33.769444,-118.120278,3
"40","Los Angeles","33.76987--118.13369",33.769866,-118.133689,4
"41","Los Angeles","33.77551--118.34316",33.775512,-118.343159,8
